Size,Automata Name,Accuracy
3,aut_26.pkl,0.9944999814033508
3,aut_27.pkl,0.7262499928474426
3,aut_28.pkl,0.7667499780654907
3,aut_29.pkl,0.7020000219345093
3,aut_3.pkl,0.8360000252723694
3,aut_30.pkl,0.6869999766349792
3,aut_31.pkl,0.6830000281333923
3,aut_32.pkl,0.765500009059906
3,aut_33.pkl,0.9835000038146973
3,aut_34.pkl,0.9707499742507935
3,aut_35.pkl,0.699999988079071
3,aut_36.pkl,0.9987499713897705
3,aut_37.pkl,0.6324999928474426
3,aut_38.pkl,0.7559999823570251
3,aut_39.pkl,0.6579999923706055
3,aut_4.pkl,0.6725000143051147
3,aut_40.pkl,0.9984999895095825
3,aut_41.pkl,0.7919999957084656
3,aut_42.pkl,0.809499979019165
3,aut_43.pkl,0.9835000038146973
3,aut_44.pkl,0.6787499785423279
3,aut_45.pkl,0.6937500238418579
3,aut_46.pkl,0.7307500243186951
3,aut_47.pkl,0.9014999866485596
3,aut_48.pkl,0.6949999928474426
3,aut_49.pkl,0.6977499723434448
3,aut_5.pkl,0.999750018119812
3,aut_50.pkl,0.9054999947547913
3,aut_51.pkl,0.6690000295639038
3,aut_52.pkl,0.9952499866485596
3,aut_53.pkl,0.6930000185966492
3,aut_54.pkl,0.7260000109672546
3,aut_55.pkl,0.8572499752044678
3,aut_56.pkl,0.9950000047683716
3,aut_57.pkl,0.6887500286102295
3,aut_58.pkl,0.6510000228881836
3,aut_59.pkl,0.6422500014305115
3,aut_6.pkl,0.9877499938011169
3,aut_60.pkl,0.9942499995231628
3,aut_61.pkl,0.9810000061988831
3,aut_62.pkl,0.6707500219345093
3,aut_63.pkl,0.6977499723434448
3,aut_64.pkl,0.7837499976158142
3,aut_65.pkl,0.6520000100135803
3,aut_66.pkl,0.9854999780654907
3,aut_67.pkl,0.9994999766349792
3,aut_68.pkl,0.6647499799728394
3,aut_69.pkl,0.7352499961853027
3,aut_7.pkl,0.7827500104904175
3,aut_70.pkl,0.781000018119812
3,aut_71.pkl,0.7087500095367432
3,aut_72.pkl,0.8299999833106995
3,aut_73.pkl,0.9290000200271606
3,aut_74.pkl,0.722000002861023
3,aut_75.pkl,0.8130000233650208
3,aut_76.pkl,0.7357500195503235
3,aut_77.pkl,0.8370000123977661
3,aut_78.pkl,0.699999988079071
3,aut_79.pkl,0.6974999904632568
3,aut_8.pkl,0.6825000047683716
3,aut_80.pkl,0.8012499809265137
3,aut_81.pkl,0.812749981880188
3,aut_82.pkl,0.6327499747276306
3,aut_83.pkl,0.7372499704360962
3,aut_84.pkl,0.9887499809265137
3,aut_85.pkl,0.7135000228881836
3,aut_86.pkl,0.7135000228881836
3,aut_87.pkl,0.7620000243186951
3,aut_88.pkl,0.7214999794960022
3,aut_89.pkl,0.6984999775886536
3,aut_9.pkl,0.6647499799728394
3,aut_90.pkl,0.793749988079071
3,aut_91.pkl,0.703249990940094
3,aut_92.pkl,0.6682500243186951
3,aut_93.pkl,0.856249988079071
3,aut_94.pkl,0.6865000128746033
3,aut_95.pkl,0.9347500205039978
3,aut_96.pkl,0.6567500233650208
3,aut_97.pkl,0.7129999995231628
3,aut_98.pkl,0.8489999771118164
3,aut_99.pkl,0.7802500128746033
4,aut_1.pkl,0.7480000257492065
4,aut_10.pkl,0.7139999866485596
4,aut_100.pkl,0.8352500200271606
4,aut_11.pkl,0.7160000205039978
4,aut_12.pkl,0.7950000166893005
4,aut_13.pkl,0.6545000076293945
4,aut_14.pkl,0.8697500228881836
4,aut_15.pkl,0.9137499928474426
4,aut_16.pkl,0.7170000076293945
4,aut_17.pkl,0.5845000147819519
4,aut_18.pkl,0.7432500123977661
4,aut_19.pkl,0.6587499976158142
